filename,file_size_bytes,file_size_mb,turn_count,last_modified,outcome,autonomous_swap,manual_needed,has_repeats,context_warning,last_messages
e509c278-409c-4b86-a509-75a400f2a4b9.jsonl,13148,0.01,20,2025-08-11 05:24:10,clean_end,False,False,False,False,
66c3a11c-53cc-4abb-9e3c-c840702bdf18.jsonl,904861,0.86,693,2025-08-11 04:54:08,clean_end,False,False,False,False,
246ca774-81bc-40c2-879a-a8e259b6a617.jsonl,1158193,1.1,809,2025-08-10 11:40:07,clean_end,False,False,False,False,
760123d8-8bfb-495d-8810-95312fc95a9e.jsonl,875868,0.84,308,2025-08-09 22:57:25,clean_end,False,False,False,False,
1ee09f85-c588-4c7e-9e41-d07612cf89d9.jsonl,2751624,2.62,523,2025-08-09 15:20:49,clean_end,False,False,False,False,
a0ceca1f-8455-4d73-9834-43a3411ce283.jsonl,2221473,2.12,371,2025-08-09 08:45:15,clean_end,False,False,False,False,
6b47a5be-5850-42f2-808e-325f0a881a56.jsonl,5250,0.01,8,2025-08-09 08:13:59,clean_end,False,False,False,False,
f48a48aa-77f2-4970-be74-3dc79a9b1bca.jsonl,5223,0.0,8,2025-08-09 07:43:15,clean_end,False,False,False,False,
0d8fd947-9c6c-440a-b7eb-cacc881ac602.jsonl,15767,0.02,20,2025-08-09 06:12:13,clean_end,False,False,False,False,
42778d90-d56d-4a98-91b8-673772ca0d7b.jsonl,5267,0.01,8,2025-08-09 05:41:35,clean_end,False,False,False,False,
fd69a709-423a-45ee-beb1-55406234ad19.jsonl,5317,0.01,8,2025-08-09 05:10:49,clean_end,False,False,False,False,
0b7a9624-d356-40d1-aa3b-0e823f3177d1.jsonl,5287,0.01,8,2025-08-09 03:08:50,clean_end,False,False,False,False,
8ea8f960-8e5c-4614-a7df-3ee9eedd9428.jsonl,5987,0.01,9,2025-08-09 02:38:18,clean_end,False,False,False,False,
0a59970d-1e87-41cd-b5bf-b22c339190e1.jsonl,10022,0.01,14,2025-08-09 02:08:01,clean_end,False,False,False,False,
d1bf76ee-5c1e-4575-b340-0d534aebbfd7.jsonl,5228,0.0,8,2025-08-09 01:38:12,clean_end,False,False,False,False,
92a37dbf-dd7e-4ec6-9e39-ad02f6736a35.jsonl,11290,0.01,15,2025-08-09 01:37:36,clean_end,False,False,False,False,
ead1448a-995d-42c9-be1a-c388f9538529.jsonl,7609,0.01,11,2025-08-09 01:07:03,clean_end,False,False,False,False,
c6946ff4-a624-4730-bede-3a4910293749.jsonl,5210,0.0,8,2025-08-09 00:37:21,clean_end,False,False,False,False,
6bd6d6b7-fcea-4641-aa5e-0d1045995bca.jsonl,7729,0.01,11,2025-08-09 00:36:32,clean_end,False,False,False,False,
760db4aa-7318-4515-85d7-0ae1fb8eb5b0.jsonl,2090906,1.99,423,2025-08-09 00:07:11,clean_end,False,False,False,False,
c687d8b5-fcd9-4f57-8b05-173040a2ebfa.jsonl,16761,0.02,19,2025-08-08 23:06:01,clean_end,False,False,False,False,
2a2910a7-a911-4ec7-be5e-9e2bc1b4a2d3.jsonl,5839,0.01,8,2025-08-08 20:03:00,clean_end,False,False,False,False,
2a243ddb-3b49-4f20-b5b3-b1edc0e02d67.jsonl,2168720,2.07,480,2025-08-08 19:33:18,clean_end,False,False,False,False,
3e6ad704-4e74-403d-91a7-c3c263a180dd.jsonl,114286,0.11,92,2025-08-08 11:10:06,clean_end,False,False,False,False,
853e4040-8c84-4d90-bd0a-942a2817263d.jsonl,76654,0.07,54,2025-08-08 11:06:17,clean_end,False,False,False,False,
035c74d4-2fbf-4471-91e3-fd7182db6da1.jsonl,1219309,1.16,576,2025-08-08 11:00:40,clean_end,False,False,False,False,
1e527e44-f75c-489f-bfae-c806d7aae309.jsonl,1039286,0.99,396,2025-08-08 10:17:15,clean_end,False,False,False,False,
9b85a794-e245-489f-9f57-0a4e06f4dcfc.jsonl,1295523,1.24,1096,2025-08-08 08:21:52,clean_end,False,False,False,False,
79158d2a-cdaa-425a-a2e0-14e1303537ac.jsonl,1043529,1.0,294,2025-08-08 03:17:25,clean_end,False,False,False,False,
f5961c64-44b3-47ed-8cca-da5778b3aaf0.jsonl,82568,0.08,36,2025-08-07 23:13:38,clean_end,False,False,False,False,
cc4ab386-e502-4b32-8454-d811611fd8d7.jsonl,1041885,0.99,218,2025-08-07 22:45:23,clean_end,False,False,False,False,
332cc298-261b-45ac-bd30-7efe31e03e24.jsonl,1498486,1.43,529,2025-08-07 19:34:37,clean_end,False,False,False,False,
6a3fcf9b-6f9f-4dd5-aa7f-cd5a76f2cb9f.jsonl,1501,0.0,3,2025-08-07 19:33:46,clean_end,False,False,False,False,
7aea263a-304d-49fd-b604-a497942ccde1.jsonl,1491532,1.42,519,2025-08-07 19:33:26,clean_end,False,False,False,False,
6b21b41a-c3a5-4809-a88e-93dee733cada.jsonl,1991124,1.9,539,2025-08-07 14:31:52,clean_end,False,False,False,False,
ee162bda-0e02-4ad0-87d7-ae6d85af093b.jsonl,1989730,1.9,529,2025-08-07 14:28:32,clean_end,False,False,False,False,
5fb0cedf-44f5-404f-a9e6-fbdc81d595a5.jsonl,1547159,1.48,834,2025-08-07 11:37:12,clean_end,False,False,False,False,
cd4af85a-a306-4c50-947d-a8d4ed3f465c.jsonl,1542491,1.47,826,2025-08-07 11:35:02,clean_end,False,False,False,False,
2fb232f8-6f5c-4d09-851b-fe5e71f7ed20.jsonl,1730343,1.65,1149,2025-08-06 18:59:14,clean_end,False,False,False,False,
5f7c3f3a-85b9-438d-900a-3df50125b007.jsonl,1605,0.0,4,2025-08-06 18:58:24,clean_end,False,False,False,False,
a4195ec9-a642-4fe2-990c-ed151529a040.jsonl,1720815,1.64,1144,2025-08-06 18:57:56,clean_end,False,False,False,False,
be60a249-d767-4e60-8826-973120025df1.jsonl,909518,0.87,425,2025-08-06 12:14:59,clean_end,False,False,False,False,
d6161179-9735-4d91-ad5f-ab2935ed6dee.jsonl,1471,0.0,3,2025-08-06 09:14:12,clean_end,False,False,False,False,
d3eadf71-9d04-49c0-a0f8-f153c2b70ac3.jsonl,2160434,2.06,788,2025-08-06 09:09:39,clean_end,False,False,False,False,
5f7ee781-d869-4ed2-95b5-ad23e2b82934.jsonl,2082385,1.99,754,2025-08-06 08:46:06,clean_end,False,False,False,False,
40e26a34-29b1-4904-85eb-13580be15358.jsonl,1597,0.0,4,2025-08-05 16:32:09,clean_end,False,False,False,False,
b8c68ed7-19b7-49aa-abd3-ff0afd92a9c0.jsonl,79853,0.08,73,2025-08-05 16:31:49,clean_end,False,False,False,False,
4eaaed4a-05ee-4c00-b635-64d301f6deef.jsonl,1601,0.0,4,2025-08-05 16:25:05,clean_end,False,False,False,False,
ff62e4a8-5419-400a-b841-b655eefca3a3.jsonl,42427,0.04,41,2025-08-05 16:24:41,clean_end,False,False,False,False,
1d857d9a-cfa3-440c-bf39-f59c91a71eab.jsonl,4667,0.0,10,2025-08-05 16:13:54,clean_end,False,False,False,False,
7bce004d-b287-45ee-89cc-1ab65bbfcb63.jsonl,3046,0.0,6,2025-08-05 16:06:23,clean_end,False,False,False,False,
54979f12-46d8-4255-8120-e59d398f3ccc.jsonl,1588,0.0,4,2025-08-05 16:04:17,clean_end,False,False,False,False,
8c41acd6-bd45-4918-b8e1-4125651bc689.jsonl,7608,0.01,11,2025-08-05 16:03:56,clean_end,False,False,False,False,
150b91d7-1529-439f-98ef-762c814da7dd.jsonl,153263,0.15,125,2025-08-05 16:02:26,clean_end,False,False,False,False,
5a0389b4-828e-4a90-af67-dc16ee75da87.jsonl,717349,0.68,529,2025-08-05 15:53:29,clean_end,False,False,False,False,
cee7d5c0-fc77-4f83-b294-a44a5c9c1151.jsonl,81382,0.08,73,2025-08-05 12:57:11,clean_end,False,False,False,False,
f3927b6e-8bef-49f6-ae94-6d1b58d2dca0.jsonl,1639,0.0,3,2025-08-05 12:53:54,clean_end,False,False,False,False,
696e4ebc-4219-48a3-ad53-077015056a8d.jsonl,4506,0.0,8,2025-08-05 12:53:35,clean_end,False,False,False,False,
b97f4f38-7501-4445-9e7b-d0848c1f29bf.jsonl,42086,0.04,38,2025-08-05 12:52:59,clean_end,False,False,False,False,
d60e03aa-633b-4b1d-8dcb-1fd9baea59b5.jsonl,54135,0.05,42,2025-08-05 12:45:41,clean_end,False,False,False,False,
74d94f78-4a52-42bb-ae73-74a0edc52c48.jsonl,214384,0.2,166,2025-08-05 12:40:58,clean_end,False,False,False,False,
20e7351d-8823-4d40-b735-be79882acfd7.jsonl,923481,0.88,411,2025-08-05 12:19:02,clean_end,False,False,False,False,
059d2069-dad0-426b-b6f6-f16032a8229f.jsonl,1471,0.0,3,2025-08-05 09:54:49,clean_end,False,False,False,False,
ae26c725-4718-49d7-a2e1-37a9443b22f6.jsonl,1288558,1.23,370,2025-08-05 09:54:22,clean_end,False,False,False,False,
313ac5f8-9775-4ee0-b1c2-15b026c3ea6d.jsonl,5794,0.01,8,2025-08-04 18:42:52,clean_end,False,False,False,False,
0b939b33-84d3-4efc-979a-a41f0a617849.jsonl,1973851,1.88,701,2025-08-04 17:42:48,clean_end,False,False,False,False,
c718a6a5-7566-42db-b549-538b04de1e21.jsonl,1303246,1.24,816,2025-08-04 08:37:36,clean_end,False,False,False,False,
a8ac201c-36aa-428c-b175-2afad9f4b711.jsonl,1471,0.0,3,2025-08-04 08:34:39,clean_end,False,False,False,False,
01c580d8-b565-4433-91b1-0fc6e979242d.jsonl,1451418,1.38,835,2025-08-04 08:31:51,clean_end,False,False,False,False,
21a9eb04-3da4-409c-8a8c-90481add9def.jsonl,34807,0.03,17,2025-08-03 17:06:36,clean_end,False,False,False,False,
dd21613a-7ea3-4575-aa5e-5e28f442d1e9.jsonl,12169,0.01,9,2025-08-03 16:53:31,clean_end,False,False,False,False,
504cd340-579c-4ef7-85ee-c4005e48f4f4.jsonl,1286140,1.23,578,2025-08-03 16:27:08,clean_end,False,False,False,False,
4d0698a8-5c87-4861-a82b-1a325510e281.jsonl,939286,0.9,710,2025-08-03 12:24:38,clean_end,False,False,False,False,
4720ca97-7d21-42cc-bc8f-a15cabf4bf23.jsonl,1489,0.0,3,2025-08-03 10:26:13,clean_end,False,False,False,False,
11f8bbdc-78c5-46f7-880c-a9fa90b19283.jsonl,1604,0.0,4,2025-08-02 22:19:51,clean_end,False,False,False,False,
e924fa1c-8860-4ce3-94be-7b6de9a8cbdd.jsonl,1489,0.0,3,2025-08-02 22:19:05,clean_end,False,False,False,False,
bc739f0a-2c87-4348-886a-7859ab01ba2c.jsonl,3295,0.0,7,2025-08-02 22:11:00,clean_end,False,False,False,False,
9ca27f26-32fe-45d3-acb5-9659be44ac8c.jsonl,4696,0.0,9,2025-08-02 18:53:19,clean_end,False,False,False,False,
